|descricao|ncm
30776|cond  geleia real   mel  <vlm>|33059000
132909|tea tree lavender mint cond   <vlm> t|33059000
29335|cond fructis oleo reparacao <num> oleos  <vlm>  rh<num>|33059000
28721|cond bio intense  <peso>|33059000
91196|mascara  <peso>  queravit queratina bio extratus un|33059000
34908|cr niely gold  <peso> r ceramidas pent  un<num>un|33059000
38454|creme hidratante  <peso>  silicone barro minas un|33059000
31104|cond tresemme liso e sedoso cxa <num> x <num>  <vlm>|33059000
30312|cond seda clima resist   <vlm>  un <num>|33059000
2775|<peso> el fix  s  alc  b  molh  azul  <peso>  la|33059000
136002|tint olia s amonia <num>  <vlm> ou ultra claro|33059000
142106|ye curly therapy mascara cond  <vlm>|33059000
32835|conj niely g sh cond prot cor|33059000
73024|gel glamur fix azul  <peso> c  valv|33059000
29622|cond kolene original  <vlm>|33059000
79026|kit bambu novo tot  tributos r  <num> <num> federal r  <num> <num> estadual|33059000
105358|pr kit t imedia <num> ct nt gt co elseve<num>m un <num>|33059000
86152|locao capilar clear queda defense  <vlm>|33059000
11193|ampola sues queratina  <vlm>|33059000
11449|anel para tinta|33059000
135232|tint koleston <num> preto|33059000
79699|kit cor ton <num>  <vlm> ouro clarissimo|33059000
35827|cr trat dove recuperacao extrema  <peso>|33059000
70727|fix cap bozzano estilo noit gel <peso>|33059000
38424|creme hidratante  <peso>  rosa gezil un|33059000
38479|creme hidratante capilar all hair plus ervas  <peso>|33059000
93283|meus cachos brilho escanda cpp <num>kg|33059000
120106|seda spray pentear cachos comportados  <vlm>|33059000
102985|pf tint imedia <num>  <vlm> ouro muito claro un <num> un|33059000
110542|reparador pontas garbin  <vlm>  <num> silicon|33059000
132468|t imedia exc calif n<num> cast med|33059000
72010|g p desem galinha pint  <vlm>|33059000
105022|pomada skafe natutrat cap tp teia  <peso> r|33059000
141565|vizcaya sh br mac <num>cd|33059000
136655|tinta color chic  <peso>  <num>  <vlm> ouro cinza med niely un|33059000
10974|ampola color reflect blindagem da cor e brilho amend <num>x <peso> r|33059000
29280|cond fructis brilho vitaminado <num>x <vlm>  rh<num>|33059000
97183|novex toin princesinhas cond  <vlm>|33059000
51618|els cd rt<num> quimica  <vlm>|33059000
39296|creme para pentear neutrox classico <num>x <vlm>|33059000
45772|descolor amoravel po  <peso>|33059000
29429|cond guarana rota da natureza  <vlm>  yaba|33059000
51860|elseve cd qr st <num>|33059000
94315|moisture kukui nut cond   <vlm>|33059000
22780|casting creme gloss <num> marrom praline|33059000
27818|colora cp <num>  <vlm> r cl dr per  <vlm>|33059000
39103|creme p cab kanechomn  <peso> aloe vera|33059000
134619|tint casting gloss cast natural <num>|33059000
81742|kit sh cond pantene brilh ext  <vlm>  un <num>|33059000
31329|condicionador  <vlm>  redutor de volume capicilin un|33059000
34997|cr p  pentear fructis brilho vitam  <vlm>  h<num>|33059000
40173|ct niely gold <num>k extra brilho|33059000
85457|lisahair escova inteligente neutra|33059000
35061|cr p pentear tresemme recon   forca <num>x <vlm>  r<num>|33059000
29617|cond kolene original  <peso> r  cx<num>|33059000
136238|tint maxtom <num> <num> chocolate  <peso> r <num> un<num>un|33059000
138126|tintura nutrisse n <num> marrom|33059000
71968|fructis super oleo <num>|33059000
9918|am e colore cast verm intenso <num> <num>  <peso>|33059000
1922|<num> <num> inoa <num> <num>|33059000
91015|masc  nutrients <num>x fortalecim  <peso> cx<num>x<num>|33059000
13628|azul rox fluor|33059000
18223|bb cream ouro  <vlm>  fytonature lote <num>|33059000
90820|masc keragen evolution  <peso>  s o s  kert un|33059000
4898|<num> st parafina calcanhares|33059000
134352|tint amend magnific cr <num>  <vlm>  c nat  <peso> r|33059000
136147|tint cor e tom <num> <num> cast cl dour  un<num>un|33059000
19610|biolage oiltherapie sublime oil  <vlm>|33059000
45886|descolorante lightner aloe ver|33059000
99589|oxidante creme <num> vol  <vlm>|33059000
71415|forever banho de perola blond  <peso>|33059000
105803|pro keratin refill cr  <vlm>|33059000
79634|kit collortrat platinum  <peso> r|33059000
137956|tintura imedia n <num> <num> castanho claro dourado|33059000
113525|s o s nutre repair selante termo restaurador  <peso>|33059000
136162|tint cor e tom <num>  <vlm> ouro cz claro un<num>un|33059000
97682|nutrisse tin <num> cas|33059000
10966|ampola blindagem nutrivix <num>x <vlm>|33059000
55624|escova oleo de argan  <peso>  fytonature lote <num>|33059000
36868|cr pent anti ressecamento  <peso>  cx <num>un|33059000
98915|oleo v seiva corp amend colageno  <vlm>|33059000
90938|masc tonal red  <peso>  newscience|33059000
138132|tintura nutrisse n  <vlm> ouro claro|33059000
29471|cond headshoulders queda  <vlm>|33059000
39056|creme p pentear sfera  <vlm>  oleo de arganv b<num> nazca cx|33059000
136763|tinta color touch  <peso>  <num> castanho m viol  wella profissional un|33059000
48734|dove cr trat dual <num>x<num>|33059000
39616|creme senxague  <vlm>  redutor de volume capicilin un|33059000
39335|creme para tratamento seda sos queda  <peso>|33059000
39921|creme tratamento power  <peso>  vitamina a barro minas un|33059000
35186|cr pent elseve  <vlm>  quera liso <num> c e|33059000
96847|nly ng silicon <num>  <vlm>  oleo arg p q|33059000
97059|novex cr trat aoliva  <peso> beleza pura|33059000
20322|blondor seal   care <num>|33059000
95418|natural liss selagem mandioca  <vlm>    natural liss|33059000
32149|condicionador keramax  <vlm>  anticaspa skafe un|33059000
87964|lp tna liss control|33059000
11017|ampola elseve fib booster  <vlm>  kera liso loreal un|33059000
39151|creme pantene thermo protectio|33059000
110880|revitaynovex jaboran sh tratcond kit|33059000
28866|cond creme wella color pos treat  <vlm>|33059000
39700|creme trat pantene cont queda <vlm> x<num>it|33059000
128948|socolor beauty <num>|33059000
2953|<num> shampoo anticaspa de arnica e neem|33059000
138502|tonalite cr tonal marrom claro <num> <num>|33059000
31058|cond pantene rep rejuv  <vlm>|33059000
137482|tinta maxton ind  <peso>  <num>  <vlm> ouro natural embelleze un|33059000
32765|condiconador lavanda bb  <vlm>  cx<num>|33059000
136984|tinta evolution <num>  <peso>  <num>  <vlm> ou ext cl ci alfa parf un|33059000
26057|col cr bc perm ind <num> <num> preto azulado|33059000
71470|forever liss   masc ultra hidratante desmaia cabelo <num>kl|33059000
138484|tonalite cr tonal castanho claro <num> <num>|33059000
6415|<num> st kit para decorar unha|33059000
26416|col <num>  <vlm> um  prof cx <num>|33059000
76808|illumina col <num> <num>  <vlm> _laep|33059000
29128|cond elseve oleo e nutri  <vlm>|33059000
80365|kit gord ra sha cond b cre fin|33059000
79219|kit biocolor fluid <num> <num> acaju escuro|33059000
99543|ox oils sh ser nut <num>|33059000
136266|tinta  <vlm>  <num> cast cinza claro igora royal un|33059000
38993|creme p pentear clinihair  <peso>  controle de queda niely un|33059000
82661|kostume kolor<num> <num>  <peso>|33059000
28861|cond controle queda  <vlm>|33059000
98527|oleo elseve  <vlm>  extraordinario ressecados e|33059000
27425|color perfect <num> <num>|33059000
92142|mascara p pentear  <vlm>  antiqueda b<num> capicilin un|33059000
35319|cr pent niely gold  <peso> r orquidea e|33059000
91964|mascara intens platinum be blond  <vlm>|33059000
138941|top salon progressive liss defriza  <vlm>|33059000
31793|condicionador colagen|33059000
90669|masc cap oleo de argan  <vlm>  gs|33059000
120146|selante  <vlm>  fibra help plantony un|33059000
137448|tinta majirel  <peso>  <num>  <vlm>  cl dou acb  loreal profissional un|33059000
30758|cond  cr  pentear barro mineral  <peso>|33059000
91133|mascara  <peso>  alfakeratin alta moda un|33059000
10096|am kit tonalizante <num> sh  argan|33059000
135727|tint nutrisse color <num> amora e|33059000
142150|ye shine nourishing mask  <peso>|33059000
1713|cond nobre care ceramidas  <vlm>  eb <num>|33059000
10939|ampola aderovitt ativ cresc  <vlm>  c <num>un cr|33059000
12990|asha selante absolut liss  <vlm>|33059000
42597|dercos masc nut <num>|33059000
28507|con tresemme  <vlm>  cachos perf un<num>un|33059000
29691|cond mandioca e quiabo  <peso>   <num> <num> fr   <num>|33059000
31016|cond palm nat kids cachead <num>|33059000
77245|intea cd refl lour <num>|33059000
124145|sh cond dove reconst completa  <vlm>  gts sh men <num>|33059000
70723|fix cap bozzano bri molh gel <peso>  nv|33059000
14229|baruel cp rapunz <num>|33059000
135470|tint maxton  <peso> r <num>  <vlm> ou mel|33059000
101165|perfect smooth blow dry balm  <vlm>|33059000
135941|tint olia lou clarissimo acinz <num>|33059000
30088|cond pantene liso sedoso  <vlm>  nv|33059000
33077|coq origem  <peso> nutricao capilar|33059000
30952|cond hid banana e mel  <peso> gm|33059000
134659|tint cor ton kit <num> <num> pto azul  <peso> r|33059000
29988|cond palm naturals maciez prolong  <vlm>  un <num>|33059000
128593|smooth cure cond sulfate free  <vlm>|33059000
30892|cond dove cor duradoura  <vlm>|33059000
109115|queratina liquida gold  <vlm>  max queratina niely un|33059000
134696|tint cor ton mini kit <num>  <vlm>  dour  <peso> r|33059000
37850|creme de tratamento tresemme hidratacao profunda <num>kg|33059000
142079|ye color hair <num> <num>  <vlm>|33059000
101013|pate platinium plus  <peso>  v<num>|33059000
1636|ref   <num>  fixador capilar forte  <vlm>   senscience silk finish    firm hold spray prot|33059000
95273|nano color <num>  <vlm> ouro medio cinza intenso  <peso>|33059000
29222|cond fortalecedor n  hair plant s  <vlm>|33059000
35847|cr trat elseve  <peso> r nutricao <num> e|33059000
6410|<num> st yellow off creme leav|33059000
137463|tinta majirel  <peso>  <num>  <vlm> o cla iri aci loreal profissional un|33059000
68303|espuma cap wella resist mousse  <vlm>|33059000
35643|cr seda  <peso> r cachos comp trat un<num>un|33059000
32140|condicionador kerafix  <vlm>  thermo ativo bioderm un|33059000
120424|serum ecoactive argan oil  <vlm>|33059000
137215|tinta keraton creme  <peso>  <num>  <vlm> ou med marron kert un|33059000
131376|spray desembaracador turma da|33059000
26338|col nutrisse <num>|33059000
9939|am escova semi di lino   bra|33059000
2029|<num>  castanho color creme dicolore|33059000
95827|neutralizante dulcia tonica  <vlm>  neutralizante fixad  loreal profissional un|33059000
30078|cond pantene hidro cauterizacao  <vlm>|33059000
78377|keraton henna preto kert <num>x <peso> r|33059000
128196|silicone reparador de pontas  <vlm>  protecao da cor niely cx|33059000
136429|tinta cab fluidgel <num> <num> castanho claro un <num>|33059000
11088|ampola mask on fine lote <num>|33059000
35648|cr seda  <peso> r pos alis quimico trat un<num>un|33059000
30678|cond wella proseries color  <vlm>|33059000
26216|col imedia <num> <num>|33059000
30547|cond tresemme blind platinum  <vlm>|33059000
30058|cond pantene cuid classico  <vlm>  nv|33059000
92421|mascara total repair botox|33059000
106116|promo atitude <num> <num> marron canela cpp mini ng perola|33059000
35900|cr trat elseve rt<num> esp quim  <peso>|33059000
88835|majiblond ultra <num> <num>b|33059000
78864|kit altamoda <num> <num> cast clar verm argan|33059000
82496|koleston colr acaju claro <num> <num>un p|33059000
81927|kit shampoocond   <vlm>  kids nutrikids phisalia un|33059000
99086|one liss dd cream  <peso>|33059000
86147|locao cap  m p  acao rapida arruda  <vlm>|33059000
141334|vital nutrition duo sachet  sh  amp  cond|33059000
1929|<num> <num> inoa <num> <num>|33059000
27864|colora illumina <num> <num>  <vlm>|33059000
25438|co acqua kids cacheados  <vlm>|33059000
6420|<num> st brilho labial morango|33059000
136273|tinta  <vlm>   <vlm> ouro esc marrom igora royal un|33059000
87879|lp pro fiber restore msq  <vlm>  br|33059000
91181|mascara  <peso>  jaborandi haskell un|33059000
39907|creme tratamento novex  <peso>  repositor de massa embelleze un|33059000
32483|condicionador phytogen  <vlm>  coco brazil kert un|33059000
134310|tint alfaparf cr <num> <num> cam dou  <peso> r prom|33059000
34162|cr cab trat novex queratina absoluta <num>k un <num>|33059000
30984|cond monange s sal lisos r <num>|33059000
27796|colora cp <num>  <vlm> r med ac  <vlm>|33059000
8251|acidificante condicionante oleo de argan  <peso>  fytonature lote <num>|33059000
73378|gel pink rosa  <peso>  ref  <num> cosmix un|33059000
33833|cp palm pos qmca <num>|33059000
29844|cond neutrox  <vlm>  <num> classico|33059000
85479|liss intense escova de mandioca tot  tributos r  <num> <num> federal r  <num> <num> estadual|33059000
32723|condicionador viva cor e protecao  <vlm>|33059000
26361|col perm kit hb <num>  <vlm> ouro ult claris esp ext violeta|33059000
49819|ducray nutri flui  <vlm>|33059000
2431|<peso>   <num> <num>  very light gdn bl i l  <vlm>|33059000
85705|loc butterfly rest cab brancs <num>em<num> <num> m|33059000
25942|col altamoda <num>|33059000
125531|shampoo ativador|33059000
119506|se liss unlimited emul  <vlm>|33059000
11236|ampola tratamento power vit  <vlm>  monoi therapy barro minas un|33059000
34828|cr lancbio pent oleo de argan  <vlm>|33059000
51587|elixir ultime serum solide  <peso>|33059000
45720|desc yama  <peso>  queratina|33059000
129018|soft color kit <num> cafe intenso <num>x<num>it|33059000
29470|cond headshoulders queda  <vlm>|33059000
135928|tint olia <num>  <vlm> ouro claro|33059000
97071|novex cr trat fertilizante capilar <num>kg|33059000
29668|cond mandioca e quiabo  <peso>   <num> <num> fr   <num>|33059000
30642|cond violet salon opus <num>x <vlm>|33059000
25549|co fruct liso ab <num>|33059000
35969|cr trat niely gold  <peso> r cont queda cer amino e|33059000
25996|col biocolor homem|33059000
98189|oleo cap coco  <vlm>|33059000
136060|tint soft color <num> castanho escuro|33059000
87826|lp majirel high lift <num> <num>  <peso>|33059000
140336|uniq one coconut hair treat  <vlm>|33059000
136087|tint soft color kit <num> c medio|33059000
102966|pf tint cor e tom <num>  <vlm> ouro escuro acinz un <num> un|33059000
29069|cond elseve arginina nutricao intensa <num>x <vlm>|33059000
9901|am e colore argan jabuticaba <num> alfaparf <num>x<num> un|33059000
28741|cond blond luzes e mechas nutry cap  <vlm>|33059000
79210|kit biocolor <num>  <vlm> ouro claro bege|33059000
134609|tint casting gloss  <vlm>  perol|33059000
128933|socolor beauty <num> <num>|33059000
12981|asha masc color  <peso>|33059000
28548|concept col cr c m <num> <num>  <peso>|33059000
73321|gel p  massagem com arnica <num> ervas  <peso>|33059000
29859|cond neutrox classico  <vlm>|33059000
25679|co tresemme  <vlm>  pontas duplas|33059000
22823|casting gloss tint <num>|33059000
30116|cond pantene summer rest  <vlm>|33059000
34955|cr novex  <peso> queratina un<num>un|33059000
7547|<num> st kit <num> esc dental clia|33059000
33931|cr alis origem now  <peso> r flores frutas|33059000
138847|tonico keramax forca e crescimento  <vlm>|33059000
142086|ye color hair <num> <num>  <vlm>|33059000
40207|ct origem controle de cachos <num>kg|33059000
11237|ampola tratamento rt<num>  kit|33059000
88878|majirel ht inc <num>  <vlm> our esc dou  <peso>|33059000
139568|tsa <num>  <vlm> ouro escuro cinza color premium|33059000
24020|chi<num>b <num>i dark iridescent blonde  tintura capilar  <peso> rs|33059000
34006|cr betulla pent h kitty claros  <vlm>|33059000
70382|fios naturs oleo cap mamona <num>|33059000
91421|mascara capilar discipline liss  <peso>  discipline liss  <peso>  amend cx|33059000
93306|mid di bamboo daily repair <vlm>|33059000
106066|prom kit c t <num>  <vlm> ouro acobreado dourado cpp mini  <peso>|33059000
80064|kit else massa <num>|33059000
87277|locao prot termica smoothation  <vlm>|33059000
72891|gel fixador  <peso>  <num> forte n y looks un|33059000
104540|po descolorante equipment  <peso>  super meches amarelo alfa parf un|33059000
104726|po hemostatico lapisan st  clara <num>x <peso> r st  clara <num>x <peso> r|33059000
27327|color intensy <num>  <vlm> ouro escuro amend <num>x <peso> r amend <num>x <peso> r|33059000
30516|cond tres lis sed  <vlm>|33059000
27887|coloracao  castanho claro <num> <num>|33059000
40177|ct niely gold <num>k oleo de oliva|33059000
38534|creme hidratante intensiva origem  <peso> mant cupu redut vol nazca un|33059000
92557|masque force reconstruction  <vlm>  <num>|33059000
90838|masc liquida maxllis  <vlm>|33059000
96151|niely cp repa inte|33059000
29203|cond equilibrante leveza  <vlm>|33059000
136922|tinta dia richesse <num>  <vlm> oreal profissional un|33059000
51475|eh leave in antid  <peso>|33059000
109947|refil shampoo mandioca  <vlm>|33059000
79260|kit blond <num> itens bio extratus un|33059000
97174|novex rep pontas nutrire oleo de coco  <vlm>|33059000
86100|locao alecrim  <vlm>  tot  tributos r  <num> <num> federal r  <num> <num> estadual|33059000
29848|cond neutrox  <vlm>  <num> classico e|33059000
95320|nanooil oleo de argan  <vlm>|33059000
138299|tnt koleston <num> acaju purpura|33059000
110500|reparador de pontas keratin  <vlm>  lote <num>|33059000
29605|cond kolene original <num>x <vlm>   <num>|33059000
110384|repair conditioner  <vlm>|33059000
32378|condicionador oleo de argan  <vlm>  oleo de argan skafe un|33059000
29601|cond kolene  <peso> r original|33059000
35417|cr pent seda hidratacao anti nos  <vlm>|33059000
73522|gel sumer forte <num>|33059000
81426|kit promocional col <num> <num> castanho escuro   makeup|33059000
29860|cond neutrox classico  <vlm>|33059000
126896|shampoo pr tratamento|33059000
29215|cond finalizador desembaracante  <vlm>|33059000
139346|tresemme rec e forca<num>|33059000
8392|acqua kids creme p  pentear lisos e finos  <vlm>|33059000
28083|coloracao permanente <num> <num>|33059000
135518|tint natucor <num> <num> mate embelleze|33059000
110544|reparador pontas garbin  <vlm>  <num> m karit|33059000
82132|kit ton <num> <num> red violet|33059000
2495|<num>  <vlm> ouro muito claro prata mini kit ct|33059000
78225|kapiderm recuperacao quimica vitaderm  <vlm>|33059000
137181|tinta imedia excellence  <vlm> ouro clarissimo loreal un|33059000
78975|kit argan griffin <num>x<num> tot  tributos r  <num> <num> federal r  <num> <num> estadual|33059000
91468|mascara capilar mct <num>  <peso> vlr aprox tributos   <num>|33059000
97187|novex tratcond oleo de argan  <vlm>|33059000
95835|neutralizante lisa hair  <vlm>|33059000
95279|nano color <num>  <vlm> ouro claro cinza  <peso>|33059000
29015|cond elseve  <vlm>  citrus|33059000
37770|creme de pentear seda keraforce quimica  <vlm>|33059000
25114|clear ct cres for <num>|33059000
31060|cond pantene repar int  <vlm>|33059000
25525|co else extra <num>|33059000
10912|ampola  <vlm>  tonico cap babosa indafarma un|33059000
34872|cr muriel pent st hair cach def  <vlm>|33059000
32697|condicionador tresemme protecao termica  <vlm>|33059000
128677|snc renew shine serum  <vlm>|33059000
136631|tinta color <num>|33059000
9354|agua oxig marcia crem vol <num>  <vlm>|33059000
70288|finesse mousse defi cachos  <peso> r|33059000
6244|<num> st parafina bronze fps<num>|33059000
34060|cr cab pent fructis brilho vitam  <vlm>  un <num>|33059000
104899|polpa de caviar total  <peso>|33059000
74440|h cd anti coc  <vlm>|33059000
2084|<num>  castanho claro color creme dicolore|33059000
137156|tinta imedia excellence <num> <num> castanho quente loreal un|33059000
13786|b<num>m power surge strong hold ha  <vlm>|33059000
39906|creme tratamento novex  <peso>  queratina absoluta embelleze un|33059000
19580|biol colorcaretherap cond <vlm>|33059000
76421|huile celeste  <vlm>|33059000
38451|creme hidratante  <peso>  pos quimica action barro minas un|33059000
98993|om ouro   condicionador  <vlm>|33059000
135303|tint koleston cast claro <num> nv|33059000
136912|tinta dia richesse <num>  <vlm> oreal profissional un|33059000
102777|pf cr trat neutrox <num> classico  <peso>  un <num> un|33059000
50260|ecologie cd banana <num>|33059000
136298|tinta  <vlm>   <vlm>  esc  dour aco igora royal un|33059000
40364|cuide se bem condicionador vol con  <vlm>|33059000
30926|cond elseve quera l solto <num>|33059000
138608|tonaliz ct ver vib <num> <num> cast cl avm  <vlm>|33059000
134545|tint casting gloss <num> preto azulado|33059000
105863|pro progressive  <vlm>|33059000
102771|pf cr pent niely gold extra brilho  <peso>  un <num> un|33059000
90798|masc hidrabell cap mandioca  <peso> r|33059000
35105|cr para pentear ng liso prolong  <peso>    emb  perolada|33059000
132525|t nut <num> tamarindo|33059000
52403|eoc cube <num> <num>  <vlm>|33059000
140287|unha colors cafe fingrs <num>x <peso> r|33059000
109560|red iron serum hidratante  <vlm>|33059000
34946|cr novex  <peso> bb cream <num> un<num>un|33059000
11051|ampola g milagrosa vit a  <vlm>|33059000
72512|gel de fixacao moderada n  <num> moodeller lote <num>|33059000
119887|seda cr pent forca anti quebra <num>x <vlm>|33059000
29604|cond kolene  <vlm>  original|33059000
28815|cond clear fus herbal pos alis <vlm>|33059000
138551|tonaliz alfaparf matizador s amsh argan|33059000
96905|no crash step <num> power dose|33059000
36821|cr pent dove rec com <num>m nv|33059000
21532|bp forc nut cen crtrat ult prof  <peso>|33059000
22079|bt else quera <num>|33059000
13925|balm restores  <vlm>|33059000
94319|moisture rec leave in moisturizer <vlm>|33059000
70279|finalizador wp velvet ampl  <vlm>|33059000
32026|condicionador fructis garnier  <vlm>  liso absoluto loreal un|33059000
138926|top salon leite defriz  silicone  <vlm>|33059000
32008|condicionador fortalecimento premium desamarelador gota dourada un|33059000
91371|mascara cap  tutano de boi e karite  <peso> lote  <num> vencimento  <num> <num> <num>|33059000
136958|tinta evolution <num>  <peso>  <num>  <vlm> ouro medio dou alfa parf un|33059000
88917|majirel inc <num>  <vlm> ouro acinz  <peso>|33059000
29013|cond elseve  <vlm>  arginina resist x<num>|33059000
37500|creme casulao bicho bom  <peso>  umectante capilar crismas un|33059000
138440|tonal c kamura col int bordeaux  <peso> r|33059000
29879|cond niely gold cont queda  <vlm>  un <num>|33059000
91748|mascara de tratamento  <peso>  desamareladora skafe cx|33059000
141273|vit v seiva cap fortalecimen <num>m dp <num>x<num>|33059000
30380|cond seda pos pro color  <vlm>  un <num>|33059000
137391|tinta magnific color  <vlm> ouro muito claro amend un|33059000
29764|cond monange hidratacao intensiva  <vlm>|33059000
81294|kit phisalia sh cd hidrakids musical|33059000
27083|color brilliance treatment  <vlm>|33059000
24756|cinza grafite|33059000
11400|anabolizante capilar <num>kg|33059000
136940|tinta evolution <num>  <peso>   <vlm> ouro escuro alfa parf un|33059000
2596|<num> <num> deva   angel  <vlm>|33059000
104742|po modelador dust it c kamura  <peso>|33059000
142088|ye color hair <num> <num>  <vlm>|33059000
35919|cr trat fructis  <peso> r stop queda|33059000
28121|coloracao vermehlo violeta   <num> <num>|33059000
41301|delirio oleo mass corp menta  <vlm>  tot  tributos r  <num> <num> federal r  <num> <num> estadual|33059000
91846|mascara five  <peso>  diamante five un|33059000
110850|revitalizador correct color silver  <peso> r fytonature lote <num>|33059000
138523|tonaliz alfaparf cr <num> <num> cast cl ac dour|33059000
136860|tinta cream developer <num>vol <num>   <vlm>|33059000
95322|nanooil oleo de argan light  <vlm>|33059000
87934|lp serie exp serum lumino cont  <vlm>  novo|33059000
79688|kit cor ton <num>  <vlm> ouro esc|33059000
45773|descolor biocolor po  <peso>  novo|33059000
7091|<num> st cor e ton louro cinza|33059000
35079|cr p tratamento argin res x<num> nutr int  <peso> elseve rh<num>|33059000
36082|cr trat pantene c<num> ampola dourada|33059000
27671|color touch <num> <num>|33059000
109479|reconstrutor nano protection  <vlm>|33059000
124122|sh cond clear women hidratacao intensa  <vlm>|33059000
29373|cond g dourada protetor terminco  <vlm>|33059000
109764|ref<num>  <num>   davines oi oil   finalizador capilar   emb  <vlm>|33059000
37859|creme deep therapy noturno seotres un|33059000
96789|nly ng cr pentea  <peso>  recon profun|33059000
81661|kit sed nat hidra <num>|33059000
25651|co seda sos reconstr estrutural  <vlm>|33059000
75625|hidrata cap  <peso> tot  tributos r  <num> <num> federal r  <num> <num> estadual|33059000
82141|kit ton <num>  <vlm> ouro escuro marrom|33059000
78775|kit a campo pack shamcond jaborandi|33059000
82168|kit tonalizante <num> cast esc viola alta moda   sh argan alfaparf <num>x<num> un|33059000
109771|ref<num>  <num>   davines authentic nourishing oil trat   <vlm>|33059000
33787|cp cheirinho de bebe  <vlm>|33059000
10869|ampola  <vlm>  ante queda skafe un|33059000
98212|oleo capilar  <vlm>  karite niely un|33059000
141762|wella bundle color cp <num> <num> welloxon|33059000
103609|pilexil sh anti queda  <vlm>   <num>  ipi|33059000
48541|dose intensiva clinihair rep abs  <vlm>|33059000
27867|coloracao castanho medio violeta   <num> <num>|33059000
138618|tonaliz seb  <vlm>  celloph louro glacial|33059000
91018|masc  nutrients reparacao <num>x <peso> cx<num>x<num>|33059000
94730|mousse charming  <vlm>  special black shizen un|33059000
98046|ol trat cap sp <num> <num>x<num>m|33059000
135563|tint nutrisse <num>un prom <num> amendoa|33059000
142221|yenzah   sou mais cachos   leave in bom dia<num>  <vlm>|33059000
